	022um-Control	20210602-MA-ABB1F	20210602-MA-ABB1P	20210602-MA-ABB1W	20210602-MA-ABS1F	20210602-MA-ABS1P	20210602-MA-ABS1W	20210602-MA-CEB1F	20210602-MA-CEB1P	20210602-MA-CEB1W	20210602-MA-CES1F	20210602-MA-CES1P	20210602-MA-CES1W	20210602-MA-CWB1F	20210602-MA-CWB1P	20210602-MA-CWB1W	20210602-MA-CWS1F	20210602-MA-CWS1P	20210602-MA-CWS1W	20210602-MA-MBB1F	20210602-MA-MBB1P	20210602-MA-MBB1W	20210602-MA-MBS1F	20210602-MA-MBS1P	20210602-MA-MBS1W	20210602-MA-SCB1F	20210602-MA-SCB1P	20210602-MA-SCB1W	20210602-MA-SCS1F	20210602-MA-SCS1P	20210602-MA-SCS1W	20210615-MA-ABB2F	20210615-MA-ABB2P	20210615-MA-ABB2W	20210615-MA-ABS1F	20210615-MA-ABS1P	20210615-MA-ABS1W	20210615-MA-CEB1F	20210615-MA-CEB1P	20210615-MA-CEB1W	20210615-MA-CES1F	20210615-MA-CES1P	20210615-MA-CES1W	20210615-MA-CWB1F	20210615-MA-CWB1P	20210615-MA-CWB1W	20210615-MA-CWS1F	20210615-MA-CWS1P	20210615-MA-CWS1W	20210615-MA-MBB1F	20210615-MA-MBB1P	20210615-MA-MBB1W	20210615-MA-MBS1F	20210615-MA-MBS1P	20210615-MA-MBS1W	20210615-MA-SCB2F	20210615-MA-SCB2P	20210615-MA-SCB2W	20210615-MA-SCS2F	20210615-MA-SCS2P	20210615-MA-SCS2W	20211005-MA-ABB2F	20211005-MA-ABB2P	20211005-MA-ABB2W	20211005-MA-ABS1F	20211005-MA-ABS1P	20211005-MA-ABS1W	20211005-MA-CEB1F	20211005-MA-CEB1P	20211005-MA-CEB1W	20211005-MA-CES2F	20211005-MA-CES2P	20211005-MA-CES2W	20211005-MA-CWB1F	20211005-MA-CWB1P	20211005-MA-CWB1W	20211005-MA-CWS1F	20211005-MA-CWS1P	20211005-MA-CWS1W	20211005-MA-MBB1F	20211005-MA-MBB1P	20211005-MA-MBB1W	20211005-MA-MBS1F	20211005-MA-MBS1P	20211005-MA-MBS1W	20211005-MA-SCB1F	20211005-MA-SCB1P	20211005-MA-SCB1W	20211005-MA-SCS2F	20211005-MA-SCS2P	20211005-MA-SCS2W	3um-Control	CJ-V08-P	DNA-Ext-Control	MockZymoPos	WaterControl
ASV_0031	0	8	56	26	14	66	55	0	75	0	0	0	0	0	0	0	0	0	0	0	99	45	20	52	47	0	62	44	20	91	35	0	111	45	5	104	14	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	75	0	0	0	0	0	0	22	0	157	0	0	99	31	12	33	23	0	0	0	0	0	0	0	0	0	14	107	17	10	47	18	11	131	16	11	321	15	0	0	0	0	0
ASV_0032	0	21	12	16	20	17	20	0	144	0	0	0	0	0	0	0	0	0	0	36	17	15	23	21	34	75	27	64	106	114	79	0	10	10	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	9	12	9	11	0	10	0	142	114	52	55	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	180	0	149	233	153	0	17	0	0	0
ASV_0033	0	29	0	39	31	0	0	0	105	0	0	0	0	0	0	0	0	0	0	103	33	55	78	60	57	63	11	56	70	11	38	34	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	48	46	46	47	0	21	86	77	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	41	0	0	53	143	45	0	139	31	120	0	0	0	0	0
ASV_0034	0	27	39	40	36	40	45	18	22	38	10	22	23	0	0	0	0	0	0	37	41	29	43	39	39	63	52	52	103	59	37	0	44	41	23	34	0	28	38	26	15	31	18	0	0	0	0	0	0	36	25	23	23	64	51	0	66	30	30	31	35	0	35	16	0	11	21	31	38	35	0	0	0	0	0	0	0	0	0	0	34	26	16	0	16	14	20	73	11	0	0	0	61	0	0	0
ASV_0035	0	0	33	13	0	27	16	0	0	0	0	15	0	0	3	0	0	0	0	0	15	0	0	14	0	0	64	16	0	145	13	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	160	0	0	329	35	0	260	24	0	86	28	0	9	0	0	0	0	0	0	0	0	325	48	0	207	30	0	26	14	0	47	0	0	82	0	0	0
ASV_0036	0	22	30	75	37	32	64	58	11	59	43	10	29	24	19	41	0	0	0	66	30	64	75	36	65	37	0	0	30	0	18	0	5	83	44	25	52	31	31	30	22	17	22	11	20	25	24	19	21	89	41	63	51	36	89	0	0	0	0	0	0	22	0	11	15	0	0	11	0	31	8	0	10	0	0	0	3	0	0	28	0	34	25	11	26	0	0	26	0	12	0	0	0	0	0	0
ASV_0037	0	0	3	5	11	0	7	52	0	49	66	33	57	13	18	26	32	16	37	15	0	3	0	0	4	0	0	0	0	0	0	0	0	6	11	0	0	25	17	31	37	11	19	37	38	32	43	31	29	41	40	31	32	25	36	0	0	0	0	0	0	61	38	43	54	29	44	41	25	58	66	38	47	0	0	17	0	0	0	65	57	109	60	44	84	0	0	38	0	0	0	0	0	0	0	0
ASV_0038	0	11	10	10	10	13	10	14	0	23	35	56	33	11	28	29	3	4	0	8	6	8	13	10	8	3	9	0	10	15	0	74	16	13	13	36	20	30	31	27	27	72	28	13	29	18	19	22	26	8	17	5	0	11	13	0	0	0	0	0	0	38	89	60	41	89	47	34	62	53	47	47	27	0	0	0	0	0	0	67	80	65	32	55	71	2	3	53	3	0	0	0	10	0	0	0
ASV_0039	0	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	115	39	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	92	98	0	123	0	20	0	68	21	0	89	38	132	0	0	0	0	0	0	0	0	0	0	37	67	0	0	0	202	0	0	147	73	190	0	0	0	0	0
ASV_0040	0	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	94	74	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	82	80	0	86	46	0	50	37	0	54	0	56	36	0	0	0	0	0	0	0	0	0	45	49	0	0	0	35	220	157	0	212	0	184	0	0	0	0	0
